,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
181,0.044,0.045,0.044333333333333336,0.044,0.00047140452079103207,0,8,2785280,all_reduce,8,8
182,0.044,0.045,0.04466666666666667,0.045,0.00047140452079103207,0,8,2818048,all_reduce,8,8
183,0.043000000000000003,0.046,0.04466666666666667,0.045,0.0012472191289246452,0,8,2850816,all_reduce,8,8
184,0.044,0.046,0.045000000000000005,0.045,0.0008164965809277268,0,8,2883584,all_reduce,8,8
185,0.044,0.046,0.045000000000000005,0.045,0.0008164965809277268,0,8,2916352,all_reduce,8,8
186,0.045,0.045,0.045000000000000005,0.045,6.938893903907228e-18,0,8,2949120,all_reduce,8,8
187,0.044,0.046,0.045000000000000005,0.045,0.0008164965809277268,0,8,2981888,all_reduce,8,8
188,0.045,0.045,0.045000000000000005,0.045,6.938893903907228e-18,0,8,3014656,all_reduce,8,8
189,0.045,0.046,0.04566666666666667,0.046,0.00047140452079103207,0,8,3047424,all_reduce,8,8
190,0.045,0.046,0.04533333333333334,0.045,0.00047140452079103207,0,8,3080192,all_reduce,8,8
191,0.045,0.047,0.046000000000000006,0.046,0.0008164965809277268,0,8,3112960,all_reduce,8,8
192,0.045,0.046,0.04533333333333334,0.045,0.00047140452079103207,0,8,3145728,all_reduce,8,8
193,0.045,0.047,0.046000000000000006,0.046,0.0008164965809277268,0,8,3178496,all_reduce,8,8
194,0.045,0.046,0.04566666666666667,0.046,0.00047140452079103207,0,8,3211264,all_reduce,8,8
195,0.045,0.046,0.04566666666666667,0.046,0.00047140452079103207,0,8,3244032,all_reduce,8,8
196,0.045,0.045,0.045000000000000005,0.045,6.938893903907228e-18,0,8,3276800,all_reduce,8,8
197,0.046,0.046,0.046000000000000006,0.046,6.938893903907228e-18,0,8,3309568,all_reduce,8,8
198,0.045,0.047,0.046000000000000006,0.046,0.0008164965809277268,0,8,3342336,all_reduce,8,8
199,0.045,0.046,0.04566666666666667,0.046,0.00047140452079103207,0,8,3375104,all_reduce,8,8
200,0.046,0.046,0.046000000000000006,0.046,6.938893903907228e-18,0,8,3407872,all_reduce,8,8
201,0.046,0.046,0.046000000000000006,0.046,6.938893903907228e-18,0,8,3440640,all_reduce,8,8
202,0.046,0.047,0.04633333333333334,0.046,0.00047140452079103207,0,8,3473408,all_reduce,8,8
203,0.046,0.047,0.04666666666666667,0.047,0.00047140452079103207,0,8,3506176,all_reduce,8,8
204,0.047,0.047,0.04700000000000001,0.047,6.938893903907228e-18,0,8,3538944,all_reduce,8,8
205,0.047,0.048,0.04733333333333334,0.047,0.00047140452079103207,0,8,3571712,all_reduce,8,8
206,0.047,0.048,0.04733333333333334,0.047,0.00047140452079103207,0,8,3604480,all_reduce,8,8
207,0.047,0.048,0.04733333333333334,0.047,0.00047140452079103207,0,8,3637248,all_reduce,8,8
208,0.048,0.048,0.04800000000000001,0.048,6.938893903907228e-18,0,8,3670016,all_reduce,8,8
209,0.047,0.048,0.04766666666666667,0.048,0.00047140452079103207,0,8,3702784,all_reduce,8,8
210,0.048,0.048,0.04800000000000001,0.048,6.938893903907228e-18,0,8,3735552,all_reduce,8,8
211,0.047,0.048,0.04766666666666667,0.048,0.00047140452079103207,0,8,3768320,all_reduce,8,8
212,0.048,0.049,0.04833333333333334,0.048,0.00047140452079103207,0,8,3801088,all_reduce,8,8
213,0.048,0.049,0.04833333333333334,0.048,0.00047140452079103207,0,8,3833856,all_reduce,8,8
214,0.048,0.049,0.04866666666666667,0.049,0.00047140452079103207,0,8,3866624,all_reduce,8,8
215,0.049,0.049,0.04900000000000001,0.049,6.938893903907228e-18,0,8,3899392,all_reduce,8,8
216,0.049,0.049,0.04900000000000001,0.049,6.938893903907228e-18,0,8,3932160,all_reduce,8,8
217,0.049,0.05,0.04966666666666667,0.05,0.00047140452079103207,0,8,3964928,all_reduce,8,8
218,0.049,0.051000000000000004,0.05000000000000001,0.05,0.0008164965809277268,0,8,3997696,all_reduce,8,8
219,0.05,0.051000000000000004,0.05033333333333334,0.05,0.00047140452079103207,0,8,4030464,all_reduce,8,8
220,0.05,0.05,0.05000000000000001,0.05,6.938893903907228e-18,0,8,4063232,all_reduce,8,8
221,0.05,0.051000000000000004,0.05066666666666667,0.051000000000000004,0.00047140452079103207,0,8,4096000,all_reduce,8,8
222,0.05,0.051000000000000004,0.05066666666666667,0.051000000000000004,0.00047140452079103207,0,8,4128768,all_reduce,8,8
223,0.051000000000000004,0.052000000000000005,0.05133333333333334,0.051000000000000004,0.00047140452079103207,0,8,4161536,all_reduce,8,8
224,0.051000000000000004,0.051000000000000004,0.05100000000000001,0.051000000000000004,6.938893903907228e-18,0,8,4194304,all_reduce,8,8
225,0.053,0.054,0.05366666666666667,0.054,0.00047140452079103207,0,8,4227072,all_reduce,8,8
226,0.054,0.054,0.054,0.054,0.0,0,8,4259840,all_reduce,8,8
227,0.054,0.054,0.054,0.054,0.0,0,8,4292608,all_reduce,8,8
228,0.054,0.055,0.05466666666666667,0.055,0.00047140452079103207,0,8,4325376,all_reduce,8,8
229,0.054,0.055,0.05466666666666667,0.055,0.00047140452079103207,0,8,4358144,all_reduce,8,8
230,0.055,0.055,0.055,0.055,0.0,0,8,4390912,all_reduce,8,8
231,0.055,0.055,0.055,0.055,0.0,0,8,4423680,all_reduce,8,8
232,0.055,0.056,0.05533333333333334,0.055,0.00047140452079103207,0,8,4456448,all_reduce,8,8
233,0.056,0.056,0.056,0.056,0.0,0,8,4489216,all_reduce,8,8
234,0.056,0.056,0.056,0.056,0.0,0,8,4521984,all_reduce,8,8
235,0.056,0.057,0.05633333333333334,0.056,0.00047140452079103207,0,8,4554752,all_reduce,8,8
236,0.057,0.058,0.05733333333333334,0.057,0.00047140452079103207,0,8,4587520,all_reduce,8,8
237,0.057,0.057,0.057,0.057,0.0,0,8,4620288,all_reduce,8,8
238,0.057,0.058,0.05733333333333334,0.057,0.00047140452079103207,0,8,4653056,all_reduce,8,8
239,0.058,0.058,0.058,0.058,0.0,0,8,4685824,all_reduce,8,8
240,0.057,0.058,0.05733333333333334,0.057,0.00047140452079103207,0,8,4718592,all_reduce,8,8
241,0.056,0.057,0.05666666666666667,0.057,0.00047140452079103207,0,8,4751360,all_reduce,8,8
242,0.056,0.057,0.05666666666666667,0.057,0.00047140452079103207,0,8,4784128,all_reduce,8,8
243,0.056,0.058,0.057,0.057,0.0008164965809277268,0,8,4816896,all_reduce,8,8
244,0.057,0.057,0.057,0.057,0.0,0,8,4849664,all_reduce,8,8
245,0.057,0.057,0.057,0.057,0.0,0,8,4882432,all_reduce,8,8
246,0.057,0.059000000000000004,0.05766666666666667,0.057,0.0009428090415820641,0,8,4915200,all_reduce,8,8
247,0.057,0.058,0.05733333333333334,0.057,0.00047140452079103207,0,8,4947968,all_reduce,8,8
248,0.057,0.058,0.05733333333333334,0.057,0.00047140452079103207,0,8,4980736,all_reduce,8,8
249,0.057,0.058,0.05766666666666667,0.058,0.00047140452079103207,0,8,5013504,all_reduce,8,8
250,0.058,0.058,0.058,0.058,0.0,0,8,5046272,all_reduce,8,8
251,0.058,0.058,0.058,0.058,0.0,0,8,5079040,all_reduce,8,8
252,0.058,0.059000000000000004,0.05833333333333334,0.058,0.00047140452079103207,0,8,5111808,all_reduce,8,8
253,0.058,0.059000000000000004,0.05866666666666667,0.059000000000000004,0.00047140452079103207,0,8,5144576,all_reduce,8,8
254,0.058,0.059000000000000004,0.05866666666666667,0.059000000000000004,0.00047140452079103207,0,8,5177344,all_reduce,8,8
255,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.0,0,8,5210112,all_reduce,8,8
256,0.058,0.059000000000000004,0.05866666666666667,0.059000000000000004,0.00047140452079103207,0,8,5242880,all_reduce,8,8
257,0.058,0.059000000000000004,0.05866666666666667,0.059000000000000004,0.00047140452079103207,0,8,5275648,all_reduce,8,8
258,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.0,0,8,5308416,all_reduce,8,8
259,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.0,0,8,5341184,all_reduce,8,8
260,0.058,0.059000000000000004,0.05866666666666667,0.059000000000000004,0.00047140452079103207,0,8,5373952,all_reduce,8,8
261,0.059000000000000004,0.06,0.05933333333333333,0.059000000000000004,0.0004714045207910288,0,8,5406720,all_reduce,8,8
262,0.059000000000000004,0.06,0.05933333333333333,0.059000000000000004,0.0004714045207910288,0,8,5439488,all_reduce,8,8
263,0.059000000000000004,0.06,0.05933333333333333,0.059000000000000004,0.0004714045207910288,0,8,5472256,all_reduce,8,8
264,0.06,0.06,0.06,0.06,0.0,0,8,5505024,all_reduce,8,8
265,0.06,0.06,0.06,0.06,0.0,0,8,5537792,all_reduce,8,8
266,0.06,0.06,0.06,0.06,0.0,0,8,5570560,all_reduce,8,8
267,0.06,0.061,0.06033333333333333,0.06,0.00047140452079103207,0,8,5603328,all_reduce,8,8
268,0.06,0.061,0.06066666666666667,0.061,0.00047140452079103207,0,8,5636096,all_reduce,8,8
269,0.06,0.061,0.06033333333333333,0.06,0.00047140452079103207,0,8,5668864,all_reduce,8,8
270,0.061,0.061,0.061,0.061,0.0,0,8,5701632,all_reduce,8,8
271,0.06,0.061,0.06066666666666667,0.061,0.00047140452079103207,0,8,5734400,all_reduce,8,8
